category,keyword,pearson_r,p_value,n_months,p_adj_bh,significant
Insurance,umbrella_insurance,-0.2542,0.0312,72,0.051185,False
Insurance,insurance_claim,-0.2699,0.0219,72,0.03762,True
Insurance,insurance_payout,-0.2853,0.0151,72,0.02736,True
Insurance,policy_number,-0.3096,0.0081,72,0.015783,True
Insurance,supplemental_insurance,-0.324,0.0055,72,0.011161,True
Insurance,car_insurance,-0.3246,0.0054,72,0.011109,True
Insurance,full_coverage_insurance,-0.3275,0.005,72,0.010445,True
Insurance,insurance_cancellation,-0.3422,0.0033,72,0.007251,True
Insurance,coverage_limits,-0.3526,0.0024,72,0.005449,True
Insurance,disability_insurance,-0.3628,0.0017,72,0.004067,True
Insurance,liability_coverage,-0.3769,0.0011,72,0.002671,True
Insurance,health_insurance_cost,-0.3883,0.0008,72,0.001855,True
Insurance,travel_insurance,-0.4044,0.0004,72,0.001109,True
Insurance,vision_insurance,-0.4058,0.0004,72,0.001064,True
Insurance,open_enrollment,-0.4172,0.0003,72,0.000724,True
Insurance,car_insurance_rates,-0.4203,0.0002,72,0.000654,True
Insurance,auto_insurance_quote,-0.4324,0.0001,72,0.000417,True
Insurance,insurance_deductible,-0.4405,0.0001,72,0.000307,True
Insurance,insurance_broker,-0.5008,0.0,72,2.7e-05,True
Insurance,cheap_car_insurance,-0.5191,0.0,72,1.2e-05,True
Insurance,long_term_disability_insurance,-0.5488,0.0,72,3e-06,True
Insurance,dental_insurance,-0.5524,0.0,72,2e-06,True
Insurance,health_insurance,-0.5963,0.0,72,0.0,True
Insurance,short_term_disability_insurance,-0.5997,0.0,72,0.0,True
Insurance,insurance_adjuster,-0.6072,0.0,72,0.0,True
Insurance,insurance_lapse,-0.6248,0.0,72,0.0,True
Investing_and_markets,day_trading,0.7379,0.0,72,0.0,True
Investing_and_markets,stock_screener,0.7206,0.0,72,0.0,True
Investing_and_markets,options_trading,0.7072,0.0,72,0.0,True
Investing_and_markets,dividend_stocks,0.6659,0.0,72,0.0,True
Investing_and_markets,blue_chip_stocks,0.6583,0.0,72,0.0,True
Investing_and_markets,penny_stocks,0.6181,0.0,72,0.0,True
Investing_and_markets,growth_stocks,0.5996,0.0,72,0.0,True
Investing_and_markets,margin_account,0.5491,0.0,72,3e-06,True
Investing_and_markets,ETF,0.5455,0.0,72,3e-06,True
Investing_and_markets,call_options,0.5438,0.0,72,4e-06,True
Investing_and_markets,put_options,0.5418,0.0,72,4e-06,True
Investing_and_markets,retirement_planning,0.5395,0.0,72,4e-06,True
Investing_and_markets,Dow_Jones,0.5328,0.0,72,6e-06,True
Investing_and_markets,REIT,0.5031,0.0,72,2.4e-05,True
Investing_and_markets,online_trading,0.4989,0.0,72,2.9e-05,True
Investing_and_markets,value_stocks,0.4894,0.0,72,4.3e-05,True
Investing_and_markets,mutual_fund,0.4791,0.0,72,6.8e-05,True
Investing_and_markets,stock_market,0.4493,0.0001,72,0.000221,True
Investing_and_markets,oil_prices,0.4126,0.0003,72,0.000849,True
Investing_and_markets,gold_price,0.3048,0.0092,72,0.017578,True
Investing_and_markets,stock_market_today,0.2923,0.0127,72,0.023442,True
Investing_and_markets,asset_allocation,0.2914,0.013,72,0.02384,True
Investing_and_markets,index_fund,0.2758,0.019,72,0.03342,True
Investing_and_markets,IPO,0.2572,0.0292,72,0.048338,True
Investing_and_markets,short_selling,0.2445,0.0385,72,0.060748,False
Investing_and_markets,market_volatility,0.2424,0.0402,72,0.06271,False
Investing_and_markets,S&P_500,0.2368,0.0452,72,0.069176,False
Investing_and_markets,brokerage_account,0.2359,0.0461,72,0.070339,False
Investing_and_markets,NASDAQ,0.2304,0.0515,72,0.077622,False
Investing_and_markets,portfolio_tracker,0.177,0.1369,72,0.18713,False
Investing_and_markets,market_crash,0.093,0.4373,72,0.518292,False
Investing_and_markets,bitcoin,0.068,0.5705,72,0.64703,False
Investing_and_markets,earnings_report,0.0467,0.6971,72,0.759535,False
Investing_and_markets,ethereum,0.0281,0.8149,72,0.857055,False
Investing_and_markets,bull_market,0.0133,0.9118,72,0.928568,False
Investing_and_markets,crypto_price,0.0095,0.9369,72,0.946348,False
Investing_and_markets,crypto_exchange,-0.0096,0.9361,72,0.946348,False
Investing_and_markets,Roth_IRA,-0.0181,0.8802,72,0.907445,False
Investing_and_markets,IRA_account,-0.0336,0.7794,72,0.832795,False
Investing_and_markets,Federal_Reserve,-0.0415,0.729,72,0.785645,False
Investing_and_markets,commodity_prices,-0.0627,0.6005,72,0.674932,False
Investing_and_markets,bear_market,-0.0672,0.5748,72,0.650384,False
Investing_and_markets,target_date_fund,-0.0866,0.4693,72,0.552341,False
Investing_and_markets,real_estate_investing,-0.0978,0.4135,72,0.493664,False
Investing_and_markets,401k,-0.1019,0.3943,72,0.475261,False
Investing_and_markets,recession,-0.1408,0.2381,72,0.305449,False
Investing_and_markets,bond_yields,-0.157,0.188,72,0.248123,False
Investing_and_markets,interest_rates,-0.1945,0.1015,72,0.14433,False
Investing_and_markets,treasury_yields,-0.2975,0.0111,72,0.020714,True
Investing_and_markets,inflation_rate,-0.3589,0.002,72,0.004507,True
Jobs,employment_benefits,0.7292,0.0,72,0.0,True
Jobs,online_teaching,0.6604,0.0,72,0.0,True
Jobs,Instacart,0.5613,0.0,72,1e-06,True
Jobs,work_at_home,0.2879,0.0142,72,0.025854,True
Jobs,gig_economy,0.2778,0.0182,72,0.032121,True
Jobs,apply_for_work,0.2748,0.0195,72,0.034142,True
Jobs,DoorDash,0.2433,0.0394,72,0.061679,False
Jobs,telecommute,0.1547,0.1944,72,0.255234,False
Jobs,extra_income,0.0444,0.711,72,0.771302,False
Jobs,Fiverr_gigs,0.0313,0.7939,72,0.84467,False
Jobs,Fiverr,0.0097,0.9357,72,0.946348,False
Jobs,part_time_work,-0.0277,0.8176,72,0.857055,False
Jobs,work_from_home,-0.0403,0.7366,72,0.79216,False
Jobs,full_time_work,-0.0573,0.6324,72,0.701276,False
Jobs,CareerBuilder,-0.086,0.4725,72,0.553437,False
Jobs,work_flexibility,-0.0888,0.4581,72,0.540429,False
Jobs,SimplyHired,-0.1057,0.3767,72,0.456275,False
Jobs,remote_work,-0.1126,0.3463,72,0.422948,False
Jobs,virtual_assistant,-0.1178,0.3245,72,0.397798,False
Jobs,Remote.co,-0.1305,0.2747,72,0.34437,False
Jobs,Upwork,-0.1984,0.0948,72,0.135514,False
Jobs,temporary_work,-0.2081,0.0793,72,0.115755,False
Jobs,We_Work_Remotely,-0.2391,0.0431,72,0.066743,False
Jobs,side_hustle,-0.2441,0.0388,72,0.060883,False
Jobs,LinkedIn_profile,-0.2627,0.0258,72,0.043616,True
Jobs,career_change,-0.2669,0.0235,72,0.039808,True
Jobs,skills_development,-0.2683,0.0227,72,0.038787,True
Jobs,Monster,-0.2692,0.0222,72,0.038099,True
Jobs,job_interview_tips,-0.2761,0.0189,72,0.033331,True
Jobs,contract_work,-0.2984,0.0109,72,0.020431,True
Jobs,AngelList,-0.3294,0.0047,72,0.010039,True
Jobs,resume_tips,-0.3419,0.0033,72,0.007251,True
Jobs,Upwork_gigs,-0.3419,0.0033,72,0.007251,True
Jobs,FlexJobs,-0.3453,0.003,72,0.00674,True
Jobs,CV_template,-0.3616,0.0018,72,0.004199,True
Jobs,career_advice,-0.3675,0.0015,72,0.003552,True
Jobs,freelance,-0.4029,0.0005,72,0.001165,True
Jobs,Lyft_driver,-0.412,0.0003,72,0.000864,True
Jobs,tutoring,-0.4149,0.0003,72,0.000784,True
Jobs,Glassdoor,-0.4329,0.0001,72,0.000411,True
Jobs,Uber_driver,-0.4542,0.0001,72,0.000184,True
Jobs,LinkedIn_Jobs,-0.4594,0.0,72,0.000151,True
Jobs,consulting_work,-0.4803,0.0,72,6.5e-05,True
Jobs,internship,-0.5603,0.0,72,2e-06,True
Jobs,job_training,-0.5677,0.0,72,1e-06,True
Jobs,TaskRabbit,-0.5856,0.0,72,0.0,True
Jobs,career_development,-0.5885,0.0,72,0.0,True
Jobs,ZipRecruiter,-0.6833,0.0,72,0.0,True
Jobs,Indeed,-0.8083,0.0,72,0.0,True
Luxuries,painting_for_sale,0.5784,0.0,72,1e-06,True
Luxuries,jet_ski,0.5769,0.0,72,1e-06,True
Luxuries,luxury_yacht,0.3112,0.0078,72,0.015203,True
Luxuries,designer_furniture,0.2351,0.0468,72,0.071174,False
Luxuries,Louis_Vuitton,0.2161,0.0683,72,0.100782,False
Luxuries,new_boat,0.1686,0.1567,72,0.209579,False
Luxuries,car_financing,0.1084,0.3647,72,0.443896,False
Luxuries,wine_collection,0.0478,0.6902,72,0.756912,False
Luxuries,necklace,0.0279,0.8161,72,0.857055,False
Luxuries,golf_club_membership,0.0192,0.873,72,0.903772,False
Luxuries,sculpture_for_sale,0.0031,0.9794,72,0.981356,False
Luxuries,used_car,-0.0154,0.8975,72,0.918916,False
Luxuries,earrings,-0.0204,0.8653,72,0.897645,False
Luxuries,luxury_car,-0.0709,0.5538,72,0.629501,False
Luxuries,car_dealership,-0.0727,0.5437,72,0.619388,False
Luxuries,rare_wine,-0.0728,0.5432,72,0.619388,False
Luxuries,private_jet,-0.095,0.4273,72,0.507631,False
Luxuries,champagne,-0.1366,0.2525,72,0.321387,False
Luxuries,fine_jewelry,-0.1505,0.207,72,0.269003,False
Luxuries,yacht,-0.1728,0.1467,72,0.197692,False
